Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
job,['balance'],0.5850222316347017,0.3089657075564027,0.0,0.03133333333333333,0.13466666666666668,0.108,1.382,1.0826666666666667,-0.06733333333333334,0.015666666666666666,0.0,0.691,0.5850000000000001,0.691,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
job,['default'],0.5862167073649442,0.2826872414910651,0.0,0.02466666666666667,0.14533333333333331,0.08733333333333333,1.398,1.0516666666666665,-0.07266666666666666,0.012333333333333335,0.0,0.7173333333333334,0.5863333333333334,0.7173333333333334,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
job,['duration'],0.40689560383729667,0.38501506531512014,0.0,-0.021,0.20933333333333334,0.045000000000000005,1.8579999999999999,0.9623333333333334,-0.10466666666666667,-0.0105,0.0,0.6153333333333334,0.40700000000000003,0.6153333333333334,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
job,['education'],0.5664560490689667,0.31775741794296675,0.0,0.03175,0.13974999999999999,0.06375,1.40575,1.066,-0.06987499999999999,0.015875,0.0,0.68225,0.5665,0.68225,1.0,0.0,0.5665,0.0,0.71225,0.0
job,['housing'],0.5120181585981395,0.3925511322250139,0.0,0.04925,0.16,0.04925,1.70475,1.10275,-0.08,0.024625,0.0,0.6072500000000001,0.512,0.6072500000000001,1.0,0.0,0.512,0.0,0.65575,0.0
job,['loan'],0.5548099106991011,0.28324316605859906,0.0,0.0805,0.16725,0.0805,1.54325,1.1252499999999999,-0.083625,0.04025,0.0,0.71675,0.555,0.71675,1.0,0.0,0.555,0.0,0.70225,0.0
loan,None,0.5729522642895878,0.356262414044275,0.0,0.10875,0.23075,0.13375,2.14,1.28275,-0.115375,0.054375,0.0,0.644,0.573,0.644,1.0,0.0,0.573,0.0,0.71875,0.0
loan,['age'],0.5835314767217618,0.36896812485226144,0.0,0.07466666666666667,0.20299999999999999,0.114,2.0643333333333334,1.255,-0.10149999999999999,0.037333333333333336,0.0,0.6313333333333334,0.5833333333333334,0.6313333333333334,1.0,0.0,0.5833333333333334,0.0,0.7243333333333334,0.0
loan,['balance'],0.5850222316347017,0.35584573801860886,0.0,0.13966666666666666,0.19966666666666666,0.171,2.0256666666666665,1.5836666666666666,-0.09983333333333333,0.06983333333333333,0.0,0.6443333333333333,0.5850000000000001,0.6443333333333333,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
loan,['default'],0.5862167073649442,0.32866827320577285,0.0,0.10466666666666667,0.19699999999999998,0.14266666666666666,2.0273333333333334,1.3273333333333335,-0.09849999999999999,0.052333333333333336,0.0,0.6716666666666665,0.5863333333333334,0.6716666666666665,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
loan,['duration'],0.40689560383729667,0.3698056216033517,0.0,0.043333333333333335,0.44966666666666666,0.18000000000000002,0.0,1.1816666666666666,-0.22483333333333333,0.021666666666666667,0.0,0.6303333333333333,0.40700000000000003,0.6303333333333333,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
loan,['education'],0.5664560490689667,0.3947772370950093,0.0,0.07525,0.23775,0.11474999999999999,2.2555,1.2085,-0.118875,0.037625,0.0,0.6052500000000001,0.5665,0.6052500000000001,1.0,0.0,0.5665,0.0,0.71225,0.0
loan,['housing'],0.5120181585981395,0.4379983667208953,0.0,0.07974999999999999,0.17875000000000002,0.11174999999999999,1.9425,1.29425,-0.08937500000000001,0.039874999999999994,0.0,0.562,0.512,0.562,1.0,0.0,0.512,0.0,0.65575,0.0
