"Swap 
 Percentage",Measurement,Feature,age,campaign,loan,housing,balance,default,job,duration,education,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
70%,"Jensen-Shannon
 divergence",default,0.0597/0.0517,0.0434/0.1005,-,0.0557/0.0639,0.0536/0.0644,-,0.0582/0.0274,0.0449/0.0911,0.0614/0.0252,,0.06019505609136196,0.06019505609136196,0.2722363302285893,0.8011073416368667,[],"[0.05168047055035605, 0.10052073663451504, 0.06386692702010247, 0.06436162233858603, 0.027380609865033483, 0.09111244626380557, 0.02515973560205595]","[0.11142564938228236, 0.1439246744855742, 0.11960549960954893, 0.11797094291192262, 0.08561621993673846, 0.13600457889401035, 0.08655977641678989]"
10%,"Hellinger
 distance",balance,-,-,-,0.2096/0.5492,-,-,0.3372/0.629,-,-,,0.3484418910161988,0.3484418910161988,0.9375554764087786,1.7250669006046944,[],"[0.5492373764193752, 0.6289897943657842]","[0.758882073539503, 0.9661848270651914]"
10%,"Wasserstein
 distance",balance,-,-,-,0.0004/0.0035,-,-,0.0012/0.0019,-,-,,0.0012096122532876,0.0012096122532876,0.003931000570292655,0.0070038765702668,[],"[0.00353013864575429, 0.0019126379882558199]","[0.00390985816998794, 0.00309401840027886]"
10%,"Total variation
 distance",balance,-,-,-,0.0103/0.0771,-,-,0.0292/0.0748,-,-,,0.03276362348333419,0.03276362348333419,0.10871128806940214,0.3432567981416016,[],"[0.07705656595800008, 0.07483876321413582]","[0.1643814255535732, 0.17887537258802835]"
10%,"Jensen-Shannon
 divergence",balance,-,-,-,0.0129/0.0337,-,-,0.0207/0.0388,-,-,,0.021372214189127593,0.021372214189127593,0.057630504527945256,0.10620253465505818,[],"[0.03370110096231919, 0.03881547971531613]","[0.04663883204740797, 0.059563702607650204]"
30%,"Hellinger
 distance",balance,-,-,-,0.4098/0.9371,-,-,0.6251/1.114,-,-,,0.6048783144572067,0.6048783144572067,1.6304418116187687,3.0860013702360822,[],"[0.9371103863174497, 1.1140166080056741]","[1.3469127209320755, 1.7390886493040065]"
30%,"Wasserstein
 distance",balance,-,-,-,0.0013/0.0095,-,-,0.0043/0.0075,-,-,,0.00320675688147488,0.00320675688147488,0.01170146859127423,0.02260111259541186,[],"[0.0095074692019414, 0.007481954217657299]","[0.010787283290665991, 0.011813829304745869]"
30%,"Total variation
 distance",balance,-,-,-,0.0353/0.1838,-,-,0.0955/0.2096,-,-,,0.0860962233538878,0.0860962233538878,0.28281212837784814,0.9177236709915604,[],"[0.1838253505029248, 0.20960645954499585]","[0.4029683383664703, 0.5147553326250901]"
30%,"Jensen-Shannon
 divergence",balance,-,-,-,0.0253/0.0571,-,-,0.0383/0.0688,-,-,,0.037079917150151354,0.037079917150151354,0.10001025730539503,0.18943847745689602,[],"[0.05710603740107624, 0.06875464290941113]","[0.08239551894367364, 0.10704295851322237]"
50%,"Hellinger
 distance",balance,-,-,-,0.5215/1.192,-,-,0.8378/1.414,-,-,,0.8364427841746448,0.8364427841746448,2.139480731957738,3.965364314310878,[],"[1.1920459922659274, 1.4140299033002584]","[1.713555198405122, 2.251809115905756]"
50%,"Wasserstein
 distance",balance,-,-,-,0.0019/0.0138,-,-,0.0081/0.0068,-,-,,0.007468014588629749,0.007468014588629749,0.0177492339396617,0.03059052219715456,[],"[0.0137552783781103, 0.0068071603239536]","[0.01569613561537316, 0.0148943865817814]"
50%,"Total variation
 distance",balance,-,-,-,0.0576/0.2605,-,-,0.1582/0.2719,-,-,,0.1546774531895072,0.1546774531895072,0.42087802400152474,1.280644528394386,[],"[0.2605103060255553, 0.2718908355984798]","[0.5786289190223259, 0.70201560937206]"
50%,"Jensen-Shannon
 divergence",balance,-,-,-,0.032/0.0722,-,-,0.051/0.0882,-,-,,0.051047244251946,0.051047244251946,0.13128685931938844,0.24348773348144492,[],"[0.07223769495435683, 0.08824153518052805]","[0.10423063813254503, 0.1392570953488999]"
70%,"Hellinger
 distance",balance,-,-,-,0.6072/1.3671,-,-,0.9776/1.6821,-,-,,1.027106124008371,1.027106124008371,2.551676314503346,4.6339105795726026,[],"[1.3670589653330438, 1.6820814156569064]","[1.9742140258857572, 2.6596965536868455]"
70%,"Wasserstein
 distance",balance,-,-,-,0.0024/0.0175,-,-,0.0105/0.0086,-,-,,0.011293769070925611,0.011293769070925611,0.024366673016330755,0.03901449060444547,[],"[0.01753857176819209, 0.0086072361226182]","[0.01990128222320834, 0.01911320838123713]"
70%,"Total variation
 distance",balance,-,-,-,0.0715/0.3094,-,-,0.1957/0.3428,-,-,,0.2185965372440677,0.2185965372440677,0.5446918422877245,1.57161240757895,[],"[0.30943526816060113, 0.3427553419267125]","[0.6904185506022493, 0.8811938569767006]"
70%,"Jensen-Shannon
 divergence",balance,-,-,-,0.0373/0.0826,-,-,0.0595/0.1056,-,-,,0.062171479157372256,0.062171479157372256,0.15624978550855753,0.28496078392562874,[],"[0.08260145956804119, 0.10555515313432935]","[0.119923350236595, 0.16503743368903376]"
10%,"Hellinger
 distance",housing,0.5788/0.5389,-,-,-,-,-,0.5713/0.1422,-,0.6094/0.1488,,0.5965625909376215,0.5965625909376215,1.0114724491456717,2.5893884439355617,[],"[0.538888284497282, 0.14215147396415456, 0.1487799579546641]","[1.117735898716023, 0.7134791603384996, 0.7581733848810392]"
10%,"Wasserstein
 distance",housing,0.0013/0.0013,-,-,-,-,-,0.0012/0.0003,-,0.002/0.0003,,0.00135022999253871,0.00135022999253871,0.00225033714928706,0.00630083824304103,[],"[0.00127987705001197, 0.00025315474432741, 0.00026718251915732]","[0.0025597792845389097, 0.0014908225472748502, 0.0022502364112272698]"
