Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
oldpeak,['ca'],fairSMOTE,-0.2864,-0.1868,0.0996,0.6025,0.2048,-0.3977,0.1822,0.7345,0.5523,-0.0548,-0.1071,-0.0523,0.1536,0.3909,0.2373,0.4408,0.5862,0.1454,81.14,67.69,-0.1345,80.95,67.47,-0.1348,76.86,79.88,0.0302,78.32,70.28,-0.0803,0.2563675755820793,0.006116079143368334,41.92,283.34,315.24,0.5995101785600032,0.16
oldpeak,['restecg'],fairSMOTE,-0.0846,-0.1935,-0.1089,0.5365,0.2703,-0.2662,0.1675,0.6584,0.4909,0.0627,-0.0689,-0.1316,0.1242,0.4001,0.2759,0.4345,0.6168,0.1823,83.83,70.05,-0.1377,85.29,68.11,-0.1718,79.5,84.94,0.0544,81.65,73.27,-0.0838,0.2969011688092212,0.008362348127310909,35.5,294.33,329.04,0.5995101785600032,0.16
oldpeak,['thal'],fairSMOTE,-0.1989,-0.2506,-0.0517,0.5418,0.425,-0.1168,0.1171,0.486,0.3689,-0.0319,-0.0046,0.0274,0.1241,0.2525,0.1284,0.4108,0.4754,0.0646,81.45,73.17,-0.0828,84.97,71.07,-0.139,75.05,72.84,-0.0221,78.82,71.07,-0.0775,0.26919547843083996,0.013539700933984277,19.88,285.99,318.74,0.40081416938293446,0.25
restecg,None,fairSMOTE,-0.043,0.3313,0.3743,0.172,0.3961,0.2241,0.7629,0.3393,-0.4236,0.0256,-0.0711,-0.0967,0.1236,0.3819,0.2583,0.4377,0.6089,0.1712,84.17,71.32,-0.1286,85.32,69.13,-0.1619,80.16,85.25,0.0509,81.96,74.19,-0.0777,0.3118159189782686,0.008042904981016572,38.77,298.15,330.36,0.4622499461255427,0.22
restecg,['age'],fairSMOTE,-0.0703,0.3023,0.3726,0.1825,0.3961,0.2136,0.7258,0.349,-0.3768,0.012,-0.1041,-0.1161,0.1179,0.3589,0.241,0.4343,0.5937,0.1594,84.51,72.21,-0.123,85.98,70.84,-0.1514,80.16,84.55,0.0439,82.31,74.82,-0.0749,0.3236430651020894,0.009464311424605019,34.2,300.61,331.64,0.5286121252556877,0.19
restecg,['ca'],fairSMOTE,-0.0545,0.3832,0.4377,0.1743,0.4382,0.2639,0.7039,0.3569,-0.347,0.0526,-0.0628,-0.1154,0.1536,0.4071,0.2535,0.4408,0.6207,0.1799,81.14,69.5,-0.1164,80.95,66.8,-0.1415,76.86,84.64,0.0778,78.32,72.48,-0.0584,0.28478432639668244,0.00972205844614209,29.29,291.58,315.97,0.5995101785600032,0.16
restecg,['oldpeak'],fairSMOTE,-0.027,0.338,0.365,0.1821,0.4077,0.2256,0.7942,0.3598,-0.4344,0.0341,-0.0857,-0.1199,0.1236,0.359,0.2354,0.431,0.5946,0.1636,83.48,72.4,-0.1108,85.35,71.17,-0.1418,78.77,84.6,0.0583,81.21,74.85,-0.0636,0.3263001116982154,0.00923755565478297,35.32,301.22,327.57,0.4622499461255427,0.22
restecg,['thal'],fairSMOTE,-0.0127,0.1876,0.2003,0.1588,0.3662,0.2074,0.7879,0.2549,-0.533,0.0418,-0.1366,-0.1784,0.1241,0.2023,0.0782,0.4108,0.4826,0.0718,81.45,79.34,-0.0211,84.97,77.77,-0.0721,75.05,80.49,0.0544,78.82,78.22,-0.006,0.38844571793551463,0.005518212660473141,70.39,314.26,319.12,0.7527138062630524,0.09
sex,None,fairSMOTE,0.1539,0.149,-0.0049,0.3338,0.2771,-0.0567,2.6009,2.3933,-0.2076,0.0138,-0.0218,-0.0356,0.1236,0.4073,0.2837,0.4377,0.6223,0.1846,84.17,69.79,-0.1438,85.32,67.23,-0.1809,80.16,85.64,0.0548,81.96,73.22,-0.0874,0.29424071827390663,0.01437086404654281,20.47,292.57,328.32,0.5286121252556877,0.19
sex,['age'],fairSMOTE,0.1448,0.1104,-0.0344,0.329,0.2489,-0.0801,2.5796,2.0823,-0.4973,0.0093,-0.0415,-0.0507,0.1179,0.4094,0.2915,0.4343,0.6243,0.19,84.51,69.62,-0.1489,85.98,67.0,-0.1898,80.16,85.47,0.0531,82.31,72.87,-0.0944,0.29054364382969344,0.01204516124493806,24.12,291.95,329.73,0.4622499461255427,0.22
